ORIGINAL	FINAL	GES_dato_variable_27
VIDA_REP	VYS	BDD_EG_MMYYYY
REF_WEB	VYS	BDD_EG_MMYYYY
VIDA	VYS	BDD_EG_MMYYYY
BCIHOGAR	BCIHOGAR	BDD_HC_MMYYYY
MASCOTAS	MASCOTAS	BDD_MC_MMYYYY
MASCOWEB	MASCOTAS	BDD_MC_MMYYYY
ARMASV	MI	BDD_MI_MMYYYY
ARMIGRA	MI	BDD_MI_MMYYYY
ARMIGR_R	MI	BDD_MI_MMYYYY
AR_BCI	MI	BDD_MI_MMYYYY
BCISLR_R	SU	BDD_SU_MMYYYY
BCISALUR	SU	BDD_SU_MMYYYY
SU_WEB	SU	BDD_SU_MMYYYY
BCICAT	CA	BDD_CA_MMYYYY
SU_PR	SU	BDD_SU_MMYYYY
VI_PR	VYS	BDD_EG_MMYYYY
AR_WEB	MI	BDD_MI_MMYYYY
BCIDENTA	OD	BDD_OD_MMYYYY

