COD_VICIDIAL;Calif_1;Calif_2;Calif_3;concatenado;Estado;Peso
1NC4FS;No conecta;Fuera de Servicio;;No conectaFuera de Servicio;;12
2C14FH;Conecta - efectivo - Cliente;Fuera horario;;Conecta - efectivo - ClienteFuera horario;;72
2E2FH;Conecta - efectivo - Cliente;Fuera horario;;Conecta - efectivo - ClienteFuera horario;Terminado;72
2C1VE;Conecta - efectivo - Cliente;Interesa;Venta;Conecta - efectivo - ClienteInteresaVenta;;100
1NC4FS;No conecta;Fuera de Servicio;;No conectaFuera de Servicio;;12
2C2VR;Conecta - efectivo - Cliente;Interesa;Venta Referido;Conecta - efectivo - ClienteInteresaVenta Referido;;99
2C62LP;Conecta - Efectivo - Cliente;Link De Pago Enviado;;Conecta - Efectivo - ClienteLink De Pago Enviado;;99
2C13LP;Conecta - efectivo - Cliente;Lo pensará;;Conecta - efectivo - ClienteLo pensará;;74
2C63AG;Conecta - efectivo - Cliente;Lo pensará;;Conecta - efectivo - ClienteLo pensará;;74
2C11FP;Conecta - efectivo - Cliente;No Interesa;Fuera del País;Conecta - efectivo - ClienteNo InteresaFuera del País;;78
2C12CC;Conecta - efectivo - Cliente;No Interesa;Cliente cerrará cuenta;Conecta - efectivo - ClienteNo InteresaCliente cerrará cuenta;;76
2C36VA;Conecta - Efectivo - Cliente;No Interesa;Vendio Auto;Conecta - Efectivo - ClienteNo InteresaVendio Auto;;74
2C37RC;Conecta - Efectivo - Cliente;No Interesa;Rechaza Costo Elevado;Conecta - Efectivo - ClienteNo InteresaRechaza Costo Elevado;;82
2C3ME;Conecta - efectivo - Cliente;No Interesa;Mala experiencia con Compañía/Banco/Corredora;Conecta - efectivo - ClienteNo InteresaMala experiencia con Compañía/Banco/Corredora;;96
2C10PE;Conecta - efectivo - Cliente;No Interesa;Problemas económicos;Conecta - efectivo - ClienteNo InteresaProblemas económicos;;82
2C6NI;Conecta - efectivo - Cliente;No Interesa;No interesa seguro;Conecta - efectivo - ClienteNo InteresaNo interesa seguro;;90
2C7CS;Conecta - efectivo - Cliente;No Interesa;Desea contratar en sucursal;Conecta - efectivo - ClienteNo InteresaDesea contratar en sucursal;;88
2C8NG;Conecta - efectivo - Cliente;No Interesa;No le gusta venta telefónica;Conecta - efectivo - ClienteNo InteresaNo le gusta venta telefónica;;86
2C9CM;Conecta - efectivo - Cliente;No Interesa;Cliente molesto (No volver a llamar);Conecta - efectivo - ClienteNo InteresaCliente molesto (No volver a llamar);;84
2C59NA;Conecta - Efectivo - Cliente;No Interesa;Vehiculo No Asegurable;Conecta - Efectivo - ClienteNo InteresaVehiculo No Asegurable;;74
